Dates,ACC US Equity,AHH US Equity,AMH US Equity,ARE US Equity,BHR US Equity,CCI US Equity,CPT US Equity,DEA US Equity,DLR US Equity,EQIX US Equity,FPI US Equity,HASI US Equity,HST US Equity,HTA US Equity,IIPR US Equity,IRM US Equity,KRC US Equity,KREF US Equity,LAND US Equity,LSI US Equity,MPW US Equity,NLCP US Equity,NNN US Equity,PSA US Equity,PW US Equity,SAFE US Equity,SBAC US Equity,SPG US Equity,STWD US Equity
2017-03-03,49.30,13.99,23.44,117.59,10.83,91.75,81.72,20.48,108.33,375.69,10.99,19.82,18.38,31.74,16.25,36.36,76.28,#N/A N/A,12.23,58.57,12.89,#N/A N/A,44.39,226.61,6.37,#N/A N/A,114.98,179.40,22.83
2017-03-10,45.73,13.26,22.29,108.81,10.01,90.28,79.40,19.42,103.90,379.16,10.61,18.46,17.91,30.54,15.50,34.24,71.07,#N/A N/A,11.00,54.99,12.20,#N/A N/A,42.33,220.07,6.23,#N/A N/A,117.80,168.17,22.39
2017-03-17,47.36,13.96,23.19,110.27,10.48,89.80,81.96,19.65,102.89,375.64,10.72,19.20,18.44,30.83,17.04,35.06,73.41,#N/A N/A,11.31,56.56,12.41,#N/A N/A,44.36,222.49,5.98,#N/A N/A,115.65,168.02,22.46
2017-03-24,48.07,13.71,23.38,111.36,10.07,93.68,81.87,19.43,103.74,388.09,10.86,19.39,18.05,31.25,16.35,34.73,72.62,#N/A N/A,11.12,56.11,12.75,#N/A N/A,43.83,222.91,5.94,#N/A N/A,118.29,167.95,22.70
2017-03-31,47.59,13.89,22.96,110.52,10.50,94.45,80.46,19.79,106.39,400.37,11.17,20.20,18.66,31.46,17.06,35.67,72.08,#N/A N/A,11.10,54.75,12.89,#N/A N/A,43.62,218.91,6.28,#N/A N/A,120.37,172.03,22.58
2017-04-07,47.77,13.94,23.75,111.67,10.70,94.50,80.87,20.70,108.70,401.74,10.99,20.18,18.30,31.82,18.00,35.52,73.13,#N/A N/A,11.13,56.65,13.63,#N/A N/A,44.14,223.60,6.39,#N/A N/A,121.17,169.81,22.64
2017-04-14,48.00,14.29,23.23,113.54,10.71,96.00,81.19,20.85,109.61,399.11,11.07,20.93,18.45,32.28,18.25,35.29,73.75,#N/A N/A,11.27,56.84,13.90,#N/A N/A,44.76,225.97,6.54,#N/A N/A,123.80,173.84,22.79
2017-04-21,49.60,14.59,23.62,115.43,10.35,95.53,81.92,20.68,112.88,401.84,11.05,21.35,18.82,32.77,18.44,36.34,74.48,#N/A N/A,11.22,56.86,14.03,#N/A N/A,45.25,228.37,6.60,#N/A N/A,123.78,171.98,22.63
2017-04-28,47.39,14.26,23.05,112.51,10.48,94.60,82.33,20.12,114.84,417.70,10.90,21.92,17.95,31.89,18.00,34.76,70.53,#N/A N/A,11.13,52.26,13.07,#N/A N/A,42.22,209.38,6.57,#N/A N/A,126.49,165.26,22.69
2017-05-05,46.80,14.10,22.27,114.83,10.29,95.92,82.36,19.85,113.81,426.25,10.74,22.01,18.13,29.79,16.86,35.26,71.51,22.13,11.09,49.81,12.97,#N/A N/A,40.37,208.25,6.38,#N/A N/A,129.62,164.52,22.26
2017-05-12,45.30,12.85,22.30,115.85,10.02,94.06,82.00,19.77,115.08,431.07,10.23,22.26,17.48,30.83,18.00,34.57,70.92,22.00,10.93,49.74,13.33,#N/A N/A,37.76,208.64,6.72,#N/A N/A,127.53,157.48,21.62
2017-05-19,47.09,12.96,22.19,117.67,9.89,99.44,82.29,19.88,114.84,426.74,9.73,21.68,18.09,31.51,17.86,34.98,71.58,22.36,11.16,49.89,13.20,#N/A N/A,37.74,214.48,6.74,#N/A N/A,132.80,157.87,21.61
2017-05-26,47.28,13.08,22.36,117.27,9.81,102.81,83.22,19.84,117.81,441.22,9.94,22.37,18.07,30.83,17.24,35.17,72.97,22.80,11.22,50.91,12.80,#N/A N/A,38.45,216.39,6.48,#N/A N/A,136.02,157.26,22.14
2017-06-02,47.70,13.52,23.19,120.04,9.67,104.59,84.65,20.50,119.77,444.32,9.90,22.23,18.17,31.63,17.65,35.26,74.62,22.94,11.28,49.89,13.24,#N/A N/A,38.85,213.92,6.62,#N/A N/A,138.69,152.64,22.15
2017-06-09,47.37,13.46,22.00,118.63,9.97,102.06,86.62,20.94,113.32,439.21,9.72,23.05,18.38,31.43,17.50,33.31,75.52,21.76,11.15,49.31,13.35,#N/A N/A,37.82,207.56,6.49,#N/A N/A,134.30,155.60,22.08
2017-06-16,48.32,14.33,22.57,117.88,9.70,101.18,88.94,21.01,116.61,427.28,9.10,23.37,18.74,32.06,17.31,34.21,76.86,21.23,11.27,50.13,13.20,#N/A N/A,39.34,213.66,6.58,#N/A N/A,133.05,160.26,22.56
2017-06-23,48.47,13.43,22.70,120.60,10.49,99.84,87.55,21.35,120.54,434.07,9.24,24.20,18.72,32.55,17.80,34.52,76.93,21.36,11.39,50.98,13.24,#N/A N/A,38.13,213.11,6.62,19.29,131.91,158.90,22.86
2017-06-30,47.30,12.95,22.57,120.47,10.18,100.18,85.51,20.95,112.95,429.16,8.94,22.87,18.27,31.11,16.75,34.36,75.15,21.50,11.67,49.40,12.87,#N/A N/A,39.10,208.53,7.13,19.15,134.90,161.76,22.39
2017-07-07,45.93,12.79,22.48,118.53,10.00,99.47,86.20,20.40,110.15,423.30,8.75,22.80,18.26,30.14,16.70,34.43,73.05,21.39,11.53,47.52,12.43,#N/A N/A,38.42,207.03,7.75,19.41,136.68,156.64,22.09
2017-07-14,47.21,13.09,22.87,120.04,10.29,101.10,86.37,20.38,112.43,437.70,8.94,22.76,18.15,29.97,16.40,34.78,72.63,21.19,11.52,48.59,12.68,#N/A N/A,39.32,207.68,7.85,19.69,136.49,160.73,22.15
2017-07-21,49.00,13.17,23.00,121.00,10.69,99.17,89.10,20.32,112.46,441.44,9.53,23.01,17.96,30.45,16.66,35.00,72.57,20.95,11.70,49.55,13.10,#N/A N/A,39.99,208.94,7.53,19.85,136.60,160.58,21.95
2017-07-28,47.82,13.37,23.11,120.40,10.23,100.58,89.39,19.89,113.18,447.90,9.03,23.21,18.71,30.32,17.65,35.19,70.45,20.42,11.99,48.59,12.93,#N/A N/A,40.07,202.84,7.24,18.25,137.64,160.52,21.91
2017-08-04,47.07,13.51,22.50,120.61,9.94,102.02,89.60,20.11,115.20,445.58,8.88,23.96,18.65,30.05,17.72,37.00,70.50,20.48,11.90,48.35,12.80,#N/A N/A,40.50,201.49,7.42,18.61,139.96,164.53,21.83
2017-08-11,46.21,13.00,22.06,119.55,9.46,100.85,89.03,19.77,111.82,438.39,8.79,23.22,17.85,29.36,17.33,37.13,68.64,19.84,13.55,48.09,12.52,#N/A N/A,39.92,198.63,6.93,18.83,138.27,157.89,22.06
2017-08-18,47.25,13.04,22.74,120.01,9.17,104.12,88.34,19.70,114.86,450.00,8.23,23.15,17.43,30.33,16.70,36.89,68.35,20.15,13.59,47.73,12.51,#N/A N/A,40.73,196.29,6.81,19.60,142.90,153.58,22.08
2017-08-25,47.41,13.40,22.65,120.49,9.55,106.99,90.22,19.84,118.14,466.19,8.63,23.46,17.70,30.67,17.66,38.47,68.85,20.40,13.50,48.99,12.81,#N/A N/A,41.57,203.87,7.61,19.37,152.10,159.04,22.22
2017-09-01,47.92,13.51,22.25,121.30,9.71,107.01,90.41,20.07,117.71,465.96,8.95,23.13,18.14,31.11,17.03,39.44,69.23,21.21,13.54,49.54,13.17,#N/A N/A,41.78,205.88,6.17,19.63,150.90,158.19,22.26
2017-09-08,48.22,13.56,21.59,119.36,9.46,106.49,95.70,20.04,120.63,462.00,9.02,23.30,18.15,31.46,17.35,40.04,68.14,20.88,12.40,54.97,13.32,#N/A N/A,42.66,218.31,6.66,19.45,149.45,159.56,21.97
2017-09-15,48.22,13.61,22.14,120.52,9.77,105.48,94.20,19.99,117.59,455.31,9.06,24.29,18.25,31.15,18.10,39.47,69.16,21.30,12.79,53.73,13.18,#N/A N/A,43.17,214.15,6.44,19.24,149.99,164.77,21.87
2017-09-22,47.32,13.61,21.66,118.06,9.56,100.60,93.00,20.36,114.51,441.66,8.73,24.15,18.33,29.81,18.06,40.13,69.75,21.33,13.34,53.80,12.94,#N/A N/A,42.11,213.71,6.03,19.10,142.62,158.81,21.96
2017-09-29,44.15,13.81,21.71,118.97,9.40,99.98,91.45,20.67,118.33,446.30,9.04,24.37,18.49,29.80,18.70,38.90,71.12,21.04,13.62,54.54,13.13,#N/A N/A,41.66,213.99,5.99,18.64,144.05,161.01,21.72
