reits,rp,hrp
ACC US Equity,0.022661169523532313,0.04093095336365121
AHH US Equity,0.01991438556551316,0.028057973157544353
AMH US Equity,0.040030392520964894,0.018880056305271606
ARE US Equity,0.06013711984447275,0.014708071000267461
BHR US Equity,0.006018647833881439,0.06302395515346215
CCI US Equity,0.0530212756524291,0.017493793982133306
CPT US Equity,0.04157162306069035,0.028967661371940755
DEA US Equity,0.08383879442614398,0.010550020840331636
DLR US Equity,0.050496706272531534,0.019396399545235338
EQIX US Equity,0.04814851830704287,0.020342355798665238
FPI US Equity,0.021181489384792446,0.021278764745243973
HASI US Equity,0.017751668579831573,0.02136807531422632
HST US Equity,0.027361372147640874,0.01870027834853555
HTA US Equity,0.039009454504645005,0.030870277854325
IIPR US Equity,0.012656642968490863,0.12238129514523954
IRM US Equity,0.03568873113700577,0.01565640687815823
KRC US Equity,0.034913786915115076,0.021972544534944568
KREF US Equity,0.020921651242087575,0.03933517196290667
LAND US Equity,0.04503869043547235,0.010007305390431561
LSI US Equity,0.03944447280548746,0.022446799984359764
MPW US Equity,0.030267395911765922,0.07288924386216593
NLCP US Equity,0.05910209125487467,0.012787636590703637
NNN US Equity,0.021465562493189167,0.041247565342591205
PSA US Equity,0.06422570900667511,0.012813509762421509
PW US Equity,0.00936975897560046,0.1394215083108522
SAFE US Equity,0.01949275248409671,0.03935538290458522
SBAC US Equity,0.04729668234773728,0.013862978368821858
SPG US Equity,0.012011057469573535,0.04259951935580237
STWD US Equity,0.016962396928715692,0.03865449482518181
